Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
44227,10845,02012-026,Hannibal,Oswego,NY,13074,Non-Residential,Residential/Small Commercial,PON 716,National Grid,,38877,39055,Complete,"Prime Energy Solutions, Inc.",SMA America,SWR1800U,1,Sharp,NT-175U1,7,12101.01,3675,1.23,1261,,No,No,No,POINT (-76.552826 43.310306)
44227,249926,,Saranac,Clinton,NY,12981,Non-Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,43995,44041,Complete,Triangle Electrical Systems,SMA America,SB7.7-1TP-US-40 [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,24,24520,3510,7.8,8968,,No,No,No,POINT (-73.814461 44.647026)
44227,60031,4745-85513,Potsdam,St. Lawrence,NY,13676,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,42361,42590,Complete,Frey Electric Construction Co.,SMA America,SB7700TL-US-22-240V,1,LG Electronics Solar Cell Division,LG310N1C-G4,26,19221.61,3224,8.06,9115,Yes,No,No,No,POINT (-74.932432 44.65525)
44227,261114,,Valley Falls,Washington,NY,12185,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,44187,,Pipeline,,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Sunpower,SPR-P19-390-COM,34,38852,4641,13.26,16945,,No,No,No,POINT (-73.53166 42.898479)
44227,158731,,Hammond,St. Lawrence,NY,13646,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43392,43419,Complete,Proven Energy Systems,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Canadian Solar Inc.,CS6K-295MS,33,24311,4381,9.74,8636,,No,No,No,POINT (-75.681701 44.44678)
44227,44018,4611-90701,Yorkville,Oneida,NY,13495,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Power Purchase Agreement,42419,42733,Complete,"CNY Solar, Inc.",SolarEdge Technologies,SE 7600A-US (240V),1,Axitec,AC-310P/156-72S,32,29760,3968,9.92,9706,No,No,No,No,POINT (-75.278427 43.111605)
44227,117089,,Central Square,Oswego,NY,13036,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43215,43298,Complete,Skyline Solar Inc.,Enphase Energy Inc.,IQ6-60-ACM-US [240V],42,SolarWorld Americas Inc,Sunmodule Plus SWA 300 mono,42,34550,5040,12.6,15161,,No,No,No,POINT (-76.166889 43.309824)
44227,160712,,Hammond,St. Lawrence,NY,13646,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43405,43489,Complete,Proven Energy Systems,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Canadian Solar Inc.,CS6K-295MS,39,31063.5,5177,11.51,10903,,No,No,No,POINT (-75.681701 44.44678)
44227,265881,,Fulton,Oswego,NY,13069,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,44173,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],44,Hanwha Q CELLS,Q.PEAK DUO-G7 325,44,41382,5005,14.3,15215,,No,No,No,POINT (-76.390481 43.324957)
44227,100472,,Saratoga Springs,Saratoga,NY,12866,Non-Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,43012,43130,Complete,Kasselman Solar LLC,Enphase Energy Inc.,IQ6-60-x-US (240V),34,Trina Solar,TSM-295DD05A.05(II),34,30090,4012,10.03,10778,,No,No,No,POINT (-73.759248 43.07772)
