Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
43555,96421,Albany,Oneida,NY,12203,Non-Residential,42.680815,-73.836193
43555,4116-22101,Olean,Clinton,NY,14760,Non-Residential,42.080311,-78.421587
43555,4116-170,Ellicottville,Clinton,NY,14731,Non-Residential,42.295655,-78.651659
43555,02011-029,Peru,Clinton,NY,12972,Non-Residential,44.560576,-73.544857
43555,02011-024,Saranac,Clinton,NY,12981,Non-Residential,44.647026,-73.814461
43555,02011-026,Mooers,Clinton,NY,12958,Non-Residential,44.962204,-73.579997
43555,02011-010,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,02011-019,Chazy,Clinton,NY,12921,Non-Residential,44.888213,-73.435336
43555,77898,Mooers Forks,Clinton,NY,12959,Non-Residential,44.960212,-73.691867
43555,77922,Mooers Forks,Clinton,NY,12959,Non-Residential,44.960212,-73.691867
43555,78517,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,77920,Mooers Forks,Clinton,NY,12959,Non-Residential,44.960212,-73.691867
43555,79953,Mooers Forks,Clinton,NY,12959,Non-Residential,44.960212,-73.691867
43555,94658,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,163136,Lyon Mountain,Clinton,NY,12952,Non-Residential,44.723494,-73.933904
43555,4011-016,Peru,Clinton,NY,12972,Non-Residential,44.560576,-73.544857
43555,4011-014,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,4011-24585,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,4011-37162,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,4687-36126,Chazy,Clinton,NY,12921,Non-Residential,44.888213,-73.435336
43555,4687-27177,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,4687-25159,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,4687-26916,Chazy,Clinton,NY,12921,Non-Residential,44.888213,-73.435336
43555,4704-98353,Ellenburg,Clinton,NY,12933,Non-Residential,44.893472,-73.836984
43555,4958-44926,Ellenburg Depot,Clinton,NY,12935,Non-Residential,44.861776,-73.787515
43555,5124-49704,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,5167-69598,Champlain,Clinton,NY,12919,Non-Residential,44.96935,-73.443786
43555,02005-006,Plattsburgh,Clinton,NY,12901,Non-Residential,44.701677,-73.468706
43555,02086-003,Ray Brook,Essex,NY,12977,Non-Residential,44.299953,-74.084491
43555,72237,Town Of St Armand,Essex,NY,12913,Non-Residential,44.417908,-74.016083
43555,73329,Keene Valley,Essex,NY,12943,Non-Residential,44.178077,-73.779495
43555,73231,Port Henry,Essex,NY,12974,Non-Residential,44.047815,-73.471316
43555,79752,Keene Valley,Essex,NY,12943,Non-Residential,44.178077,-73.779495
43555,120664,Ausable Forks,Essex,NY,12912,Non-Residential,44.465018,-73.741216
43555,162006,Wilmington,Essex,NY,12997,Non-Residential,44.389116,-73.81582
43555,175703,Keene,Essex,NY,12942,Non-Residential,44.259931,-73.785045
43555,174355,North Hudson,Essex,NY,12855,Non-Residential,44.001257,-73.753848
43555,4006-20531,Westport,Essex,NY,12993,Non-Residential,44.204005,-73.474091
43555,4011-19649,Essex,Essex,NY,12936,Non-Residential,44.278462,-73.398691
43555,4116-184,Newcomb,Essex,NY,12852,Non-Residential,43.981527,-74.146011
43555,4244-20079,Essex,Essex,NY,12936,Non-Residential,44.278462,-73.398691
43555,4206-20442,Willsboro,Essex,NY,12996,Non-Residential,44.366265,-73.404959
43555,4244-20808,Essex,Essex,NY,12936,Non-Residential,44.278462,-73.398691
43555,4318-001,North Hudson,Essex,NY,12855,Non-Residential,44.001257,-73.753848
43555,4533-86275,Keene Valley,Essex,NY,12943,Non-Residential,44.178077,-73.779495
43555,4958-37016,Westport,Essex,NY,12993,Non-Residential,44.204005,-73.474091
43555,5226-55351,Minerva,Essex,NY,12851,Non-Residential,43.813574,-74.009981
43555,5226-55352,Olmstedville,Essex,NY,12857,Non-Residential,43.842591,-74.016341
43555,82329,Akwesasne,Franklin,NY,13655,Non-Residential,44.979315,-74.658628
43555,153169,Vermontville,Franklin,NY,12989,Non-Residential,44.531418,-74.0703
43555,173558,Harrietstown,Franklin,NY,12987,Non-Residential,44.328955,-73.777439
43555,171869,Constable,Franklin,NY,12926,Non-Residential,44.950246,-74.324301
43555,4011-43668,Malone,Franklin,NY,12953,Non-Residential,44.785967,-74.270547
43555,4533-76295,Saranac Lake,Franklin,NY,12983,Non-Residential,44.33657,-74.210823
43555,4697-50101,Chateaugay,Franklin,NY,12920,Non-Residential,44.901726,-74.063438
43555,4697-50102,Chateaugay,Franklin,NY,12920,Non-Residential,44.901726,-74.063438
43555,5051-76183,Paul Smiths,Franklin,NY,12970,Non-Residential,44.4643,-74.243257
43555,5079-38890,Malone,Franklin,NY,12953,Non-Residential,44.785967,-74.270547
43555,5079-38862,Malone,Franklin,NY,12953,Non-Residential,44.785967,-74.270547
