Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
3/31/2019,02029-017,Albany,Albany,NY,12202,Non-Residential,42.638282,-73.76203
3/31/2019,02006-047,Albany,Albany,NY,12204,Non-Residential,42.684133,-73.734184
3/31/2019,02006-039,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
3/31/2019,37877A-1,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
3/31/2019,51009-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
3/31/2019,37876A-1,Delamr,Albany,NY,12054,Non-Residential,42.612026,-73.848428
3/31/2019,51016-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
3/31/2019,51015-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
3/31/2019,31297-1,Delmar,Albany,NY,12067,Non-Residential,42.562255,-73.919858
3/31/2019,33509A-1,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,51014-1,Selkirk,Albany,NY,12158,Non-Residential,42.545755,-73.816841
3/31/2019,72090,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
3/31/2019,71988,Waterford,Albany,NY,12188,Non-Residential,42.815297,-73.699726
3/31/2019,73002,Voorheesville,Albany,NY,12186,Non-Residential,42.634962,-73.965431
3/31/2019,75014,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,75909,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
3/31/2019,78318,Greenville,Albany,NY,12083,Non-Residential,42.426414,-74.03142
3/31/2019,78739,Altamont,Albany,NY,12009,Non-Residential,42.700923,-74.026413
3/31/2019,81238,Albany,Albany,NY,12208,Non-Residential,42.655144,-73.803265
3/31/2019,84077,Westerlo,Albany,NY,12193,Non-Residential,42.514641,-74.045265
3/31/2019,88880,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
3/31/2019,91704,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
3/31/2019,91172,Slingerlands,Albany,NY,12159,Non-Residential,42.646421,-73.874892
3/31/2019,96421,Albany,Oneida,NY,12203,Non-Residential,42.680815,-73.836193
3/31/2019,98427,Albany,Albany,NY,12209,Non-Residential,42.641021,-73.788025
3/31/2019,98448,Albany,Albany,NY,12209,Non-Residential,42.641021,-73.788025
3/31/2019,101057,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
3/31/2019,101085,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
3/31/2019,106817,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,105489,Albany,Albany,NY,12202,Non-Residential,42.638282,-73.76203
3/31/2019,106835,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,106831,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,106833,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,113369,Altamont,Albany,NY,12085,Non-Residential,42.704694,-73.966106
3/31/2019,4356-19899,Watervliet,Albany,NY,12189,Non-Residential,42.732068,-73.712974
3/31/2019,126521,Medusa,Albany,NY,12120,Non-Residential,42.459153,-74.140795
3/31/2019,127056,Greenville,Albany,NY,12083,Non-Residential,42.426414,-74.03142
3/31/2019,126520,Westerlo,Albany,NY,12193,Non-Residential,42.514641,-74.045265
3/31/2019,126778,Greenville,Albany,NY,12083,Non-Residential,42.426414,-74.03142
3/31/2019,155873,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
3/31/2019,161242,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
3/31/2019,163939,Watervliet,Albany,NY,12189,Non-Residential,42.732068,-73.712974
3/31/2019,164278,Albany,Albany,NY,12202,Non-Residential,42.638282,-73.76203
3/31/2019,5377-63245,Albany,Albany,NY,12203,Non-Residential,42.680815,-73.836193
3/31/2019,4006-041,Watervliet,Albany,NY,12189,Non-Residential,42.732068,-73.712974
3/31/2019,4006-037,Guilderland,Albany,NY,12084,Non-Residential,42.701067,-73.900339
3/31/2019,4005-048,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
3/31/2019,4009-20585,East Berne,Albany,NY,12059,Non-Residential,42.615462,-74.057318
3/31/2019,4054-19767,Delmar,Albany,NY,12054,Non-Residential,42.612026,-73.848428
3/31/2019,4061-24583,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,4116-26660,Albany,Albany,NY,12206,Non-Residential,42.67271,-73.781991
3/31/2019,4139-014,Albany,Albany,NY,12205,Non-Residential,42.712719,-73.824203
3/31/2019,4139-004,Latham,Albany,NY,12110,Non-Residential,42.750728,-73.770061
